,date,city,env,median
395,2020-05-27,Austin,pm25,34.0
396,2020-08-02,Austin,pm25,25.0
397,2020-09-27,Austin,pm25,34.0
398,2020-10-26,Austin,pm25,21.0
399,2020-06-11,Austin,pm25,30.0
400,2020-02-23,Austin,pm25,25.0
401,2020-03-27,Austin,pm25,53.0
402,2020-07-06,Austin,pm25,50.0
403,2020-02-02,Austin,pm25,20.0
404,2020-09-06,Austin,pm25,53.0
405,2020-10-16,Austin,pm25,17.0
406,2020-03-30,Austin,pm25,42.0
407,2020-02-03,Austin,pm25,30.0
408,2020-02-21,Austin,pm25,42.0
409,2020-05-15,Austin,pm25,42.0
410,2020-01-02,Austin,pm25,34.0
411,2020-03-26,Austin,pm25,61.0
412,2020-10-02,Austin,pm25,38.0
413,2020-10-08,Austin,pm25,55.0
414,2020-01-20,Austin,pm25,15.0
415,2020-05-13,Austin,pm25,30.0
416,2020-06-02,Austin,pm25,46.0
417,2020-06-28,Austin,pm25,70.0
418,2020-07-10,Austin,pm25,38.0
419,2020-08-16,Austin,pm25,21.0
420,2020-08-18,Austin,pm25,38.0
421,2020-09-15,Austin,pm25,46.0
422,2020-03-25,Austin,pm25,55.0
423,2020-09-24,Austin,pm25,21.0
424,2020-09-22,Austin,pm25,21.0
425,2020-04-27,Austin,pm25,34.0
426,2020-07-18,Austin,pm25,55.0
427,2020-09-14,Austin,pm25,30.0
428,2020-10-14,Austin,pm25,46.0
429,2020-01-23,Austin,pm25,25.0
430,2020-04-24,Austin,pm25,42.0
431,2020-06-14,Austin,pm25,42.0
432,2020-07-11,Austin,pm25,30.0
433,2020-07-17,Austin,pm25,61.0
434,2020-08-01,Austin,pm25,25.0
435,2020-08-15,Austin,pm25,25.0
436,2020-03-02,Austin,pm25,50.0
437,2020-01-15,Austin,pm25,38.0
438,2020-01-16,Austin,pm25,21.0
439,2020-02-27,Austin,pm25,25.0
440,2020-04-22,Austin,pm25,78.0
441,2020-06-05,Austin,pm25,46.0
442,2020-01-10,Austin,pm25,30.0
443,2020-02-26,Austin,pm25,17.0
444,2020-03-10,Austin,pm25,38.0
445,2020-03-24,Austin,pm25,42.0
446,2020-07-07,Austin,pm25,61.0
447,2020-02-17,Austin,pm25,35.0
448,2020-06-04,Austin,pm25,30.0
449,2020-09-08,Austin,pm25,53.0
450,2020-09-28,Austin,pm25,17.0
451,2020-10-21,Austin,pm25,21.0
452,2020-10-24,Austin,pm25,21.0
453,2020-01-17,Austin,pm25,12.0
454,2020-06-08,Austin,pm25,46.0
455,2020-06-25,Austin,pm25,25.0
456,2020-08-11,Austin,pm25,30.0
457,2020-08-22,Austin,pm25,34.0
458,2020-08-23,Austin,pm25,38.0
459,2020-08-26,Austin,pm25,25.0
460,2020-10-06,Austin,pm25,61.0
461,2020-01-07,Austin,pm25,18.0
462,2020-04-28,Austin,pm25,59.0
463,2020-07-19,Austin,pm25,57.0
464,2020-09-03,Austin,pm25,42.0
465,2020-09-25,Austin,pm25,38.0
466,2020-04-16,Austin,pm25,38.0
467,2020-03-05,Austin,pm25,25.0
468,2020-05-20,Austin,pm25,63.0
469,2020-05-24,Austin,pm25,34.0
470,2020-02-19,Austin,pm25,17.0
471,2020-03-28,Austin,pm25,57.0
472,2020-04-25,Austin,pm25,21.0
473,2020-05-05,Austin,pm25,30.0
474,2020-06-03,Austin,pm25,38.0
475,2020-07-04,Austin,pm25,59.0
476,2020-08-29,Austin,pm25,30.0
477,2020-03-07,Austin,pm25,42.0
478,2020-06-30,Austin,pm25,72.0
479,2020-03-17,Austin,pm25,42.0
480,2020-05-01,Austin,pm25,30.0
481,2020-10-04,Austin,pm25,34.0
482,2020-01-04,Austin,pm25,10.0
483,2020-05-14,Austin,pm25,25.0
484,2020-01-24,Austin,pm25,21.0
485,2020-02-25,Austin,pm25,25.0
486,2020-03-03,Austin,pm25,59.0
487,2020-02-13,Austin,pm25,22.0
488,2020-02-06,Austin,pm25,11.0
489,2020-04-26,Austin,pm25,42.0
490,2020-08-05,Austin,pm25,30.0
491,2020-08-07,Austin,pm25,21.0
492,2020-01-03,Austin,pm25,14.0
493,2020-02-07,Austin,pm25,17.0
494,2020-03-04,Austin,pm25,30.0
495,2020-03-18,Austin,pm25,46.0
496,2020-04-13,Austin,pm25,25.0
497,2020-05-03,Austin,pm25,30.0
498,2020-01-01,Austin,pm25,43.0
499,2020-02-04,Austin,pm25,29.0
500,2020-05-11,Austin,pm25,30.0
501,2020-05-30,Austin,pm25,25.0
502,2020-07-12,Austin,pm25,42.0
503,2020-08-08,Austin,pm25,30.0
504,2020-08-30,Austin,pm25,30.0
505,2020-01-21,Austin,pm25,24.0
506,2020-02-09,Austin,pm25,21.0
507,2020-03-31,Austin,pm25,25.0
508,2020-04-09,Austin,pm25,72.0
509,2020-04-11,Austin,pm25,50.0
510,2020-05-06,Austin,pm25,21.0
511,2020-06-10,Austin,pm25,38.0
512,2020-07-03,Austin,pm25,70.0
513,2020-01-19,Austin,pm25,8.0
514,2020-07-27,Austin,pm25,21.0
515,2020-01-13,Austin,pm25,33.0
516,2020-05-25,Austin,pm25,13.0
517,2020-06-06,Austin,pm25,38.0
518,2020-07-31,Austin,pm25,30.0
519,2020-09-21,Austin,pm25,42.0
520,2019-12-31,Austin,pm25,18.0
521,2020-06-01,Austin,pm25,53.0
522,2020-07-25,Austin,pm25,17.0
523,2020-08-03,Austin,pm25,34.0
524,2020-09-30,Austin,pm25,30.0
525,2020-10-05,Austin,pm25,53.0
526,2020-04-29,Austin,pm25,25.0
527,2020-03-06,Austin,pm25,21.0
528,2020-04-04,Austin,pm25,30.0
529,2020-09-05,Austin,pm25,34.0
530,2020-09-26,Austin,pm25,46.0
531,2020-01-08,Austin,pm25,21.0
532,2020-02-24,Austin,pm25,21.0
533,2020-06-13,Austin,pm25,38.0
534,2020-07-01,Austin,pm25,72.0
535,2020-10-23,Austin,pm25,25.0
536,2020-02-08,Austin,pm25,30.0
537,2020-04-07,Austin,pm25,55.0
538,2020-07-05,Austin,pm25,46.0
539,2020-09-09,Austin,pm25,34.0
540,2020-01-28,Austin,pm25,24.0
541,2020-08-25,Austin,pm25,46.0
542,2020-10-10,Austin,pm25,46.0
543,2020-01-30,Austin,pm25,17.0
544,2020-03-23,Austin,pm25,57.0
545,2020-04-30,Austin,pm25,30.0
546,2020-08-12,Austin,pm25,46.0
547,2020-02-20,Austin,pm25,9.0
548,2020-06-07,Austin,pm25,46.0
549,2020-01-31,Austin,pm25,20.0
550,2020-06-24,Austin,pm25,21.0
551,2020-09-23,Austin,pm25,13.0
552,2020-05-08,Austin,pm25,42.0
553,2020-06-29,Austin,pm25,61.0
554,2020-07-14,Austin,pm25,63.0
555,2020-08-04,Austin,pm25,30.0
556,2020-01-14,Austin,pm25,46.0
557,2020-05-07,Austin,pm25,38.0
558,2020-05-16,Austin,pm25,13.0
559,2020-08-27,Austin,pm25,25.0
560,2020-03-21,Austin,pm25,25.0
561,2020-03-22,Austin,pm25,30.0
562,2020-05-22,Austin,pm25,55.0
563,2020-07-09,Austin,pm25,63.0
564,2020-08-09,Austin,pm25,61.0
565,2020-09-02,Austin,pm25,59.0
566,2020-09-29,Austin,pm25,21.0
567,2020-02-16,Austin,pm25,35.0
568,2020-03-13,Austin,pm25,50.0
569,2020-03-16,Austin,pm25,42.0
570,2020-01-26,Austin,pm25,17.0
571,2020-02-15,Austin,pm25,29.0
572,2020-04-01,Austin,pm25,30.0
573,2020-07-30,Austin,pm25,46.0
574,2020-09-04,Austin,pm25,17.0
575,2020-01-25,Austin,pm25,20.0
576,2020-02-28,Austin,pm25,25.0
577,2020-04-18,Austin,pm25,38.0
578,2020-04-19,Austin,pm25,53.0
579,2020-05-18,Austin,pm25,38.0
580,2020-06-19,Austin,pm25,25.0
581,2020-06-23,Austin,pm25,17.0
582,2020-09-18,Austin,pm25,50.0
583,2020-01-12,Austin,pm25,21.0
584,2020-10-12,Austin,pm25,38.0
